,RSI_apply_to,RSI_length,corr_low,corr_high,Divergence_diff_extereme,Divergence_num_exteremes_min,Divergence_num_exteremes_max,frequency,score
245,HLC/3,16.0,0.1895779559806174,0.175824700536293,1.0,195.0,486.0,4H,0.0510868632934048
244,HLC/3,16.0,0.1895779559806174,0.175824700536293,4.0,258.0,63.0,4H,0.0510868632934048
246,open,6.0,0.1447370412587429,0.1075386498841071,6.0,195.0,24.0,4H,0.0499357318329791
247,high,25.0,0.1178612911874248,0.0830626389703962,6.0,89.0,64.0,4H,0.0489763093227325
248,high,26.0,0.1165408394247674,0.0817595636232243,6.0,106.0,62.0,4H,0.048536223777338
249,HL/2,34.0,0.1351273399290537,0.1031405634125511,5.0,79.0,225.0,4H,0.0481305588811961
250,HL/2,9.0,0.0576308099943598,0.03511128460673,3.0,27.0,241.0,4H,0.0459671481013068
251,close,60.0,0.1778908166243322,0.0674225286191998,3.0,93.0,137.0,4H,0.0457807444655495
252,close,278.0,0.1677587877731939,0.1424594371467748,2.0,31.0,106.0,4H,0.0457241349900133
253,OHLC/4,23.0,0.1532754884313538,0.10197420624276,2.0,165.0,78.0,4H,0.0454330016823352
254,HLCC/4,273.0,0.1327536907795707,0.1507864162413186,3.0,29.0,214.0,4H,0.0431012241371222
255,OHLC/4,51.0,0.1374740052830217,0.0961572220732237,2.0,80.0,220.0,4H,0.0429653065629472
256,HLC/3,17.0,0.1488767773800836,0.1326666068032311,1.0,247.0,343.0,4H,0.0429091117126811
257,high,45.0,0.0959819389191745,0.0565160131411646,2.0,58.0,235.0,4H,0.0423476866274546
258,open,74.0,0.0675423055962395,0.0532853482304717,6.0,36.0,345.0,4H,0.0415978829435474
259,high,9.0,0.0732636498994527,0.0433915671282761,3.0,76.0,359.0,4H,0.0412007879988085
260,low,131.0,0.1320923815404999,0.0644421545736387,5.0,46.0,242.0,4H,0.040836257768647
261,low,100.0,0.1452253059007568,0.1143143461819962,4.0,70.0,417.0,4H,0.0404949632658301
262,open,124.0,0.0827337379277038,0.1191270921127825,5.0,63.0,365.0,4H,0.0389596289920553
263,close,146.0,0.0957012415262301,0.0419166617770129,1.0,23.0,498.0,4H,0.0382951785402734
264,low,24.0,0.0411571358836228,0.0270823409178262,5.0,19.0,195.0,4H,0.0381973982996598
265,HLCC/4,94.0,0.0415872368331709,0.0232079705147006,1.0,11.0,60.0,4H,0.0368864497959789
266,HLCC/4,205.0,0.0951318307337349,0.0808861093930575,1.0,48.0,320.0,4H,0.0358743204973396
267,HLCC/4,213.0,0.0910839083012362,0.0781350764730919,5.0,49.0,257.0,4H,0.0349526131076393
268,HLCC/4,54.0,0.1117253828632945,0.0594858794503047,2.0,84.0,193.0,4H,0.0341642844831057
269,HLC/3,100.0,0.1635537555456704,0.0376714701020453,1.0,60.0,275.0,4H,0.0333125680307834
270,HL/2,97.0,0.1623556463040463,0.0369859718056088,4.0,53.0,276.0,4H,0.0330282244420933
271,OHLC/4,71.0,0.0681743207300109,0.0218620629980438,6.0,39.0,259.0,4H,0.0329489111748295
272,HLCC/4,235.0,0.0810010688479188,0.0714553100917986,4.0,52.0,220.0,4H,0.0326256247001502
273,HLC/3,48.0,0.0589043798891578,0.0416208802921606,1.0,51.0,384.0,4H,0.0324984235974502
274,open,132.0,0.0550976093345561,0.0914259423982154,1.0,56.0,92.0,4H,0.0311495050600568
275,close,115.0,0.0902851970529678,0.0392938077038007,1.0,49.0,463.0,4H,0.0305030699667129
276,OHLC/4,10.0,0.0879598499917195,0.0799402750421601,1.0,255.0,15.0,4H,0.0304114202836323
277,open,108.0,0.0484084098021851,0.0951532172541539,6.0,56.0,478.0,4H,0.0302342022957296
278,OHLC/4,108.0,0.0526894181990476,0.0515664138653099,6.0,36.0,451.0,4H,0.0300628473048061
279,HLC/3,263.0,0.0504245880556332,0.0346243272428653,4.0,20.0,474.0,4H,0.0275677708125555
280,low,118.0,0.0872099791038946,0.0360016500665706,2.0,41.0,30.0,4H,0.0266080641971695
281,close,33.0,0.0506566387801341,0.0273960890809254,2.0,56.0,133.0,4H,0.0255369324955262
282,OHLC/4,20.0,0.0879141182910083,0.0227656794452063,3.0,130.0,471.0,4H,0.0252044026729488
283,low,107.0,0.0809127547969919,0.0326032473135531,1.0,51.0,127.0,4H,0.0251078600235371
284,HLC/3,266.0,0.0451868069942719,0.0412985546144983,5.0,46.0,146.0,4H,0.0223717136704493
285,OHLC/4,11.0,0.031334095097398,0.0264855826572039,1.0,100.0,449.0,4H,0.0202461397158415
